"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"335","Gene40","H3K9ac",0.381752592357063,"control1_leaves",40,"Low Expression",115
"336","Gene60","H3K9ac",0.235758398877898,"control1_leaves",60,"Low Expression",115
"337","Gene80","H3K9ac",0.163081395656041,"control1_leaves",80,"Low Expression",115
"338","Gene100","H3K9ac",0.0576064359192927,"control1_leaves",100,"Low Expression",115
"339","Downstream","H3K9ac",0.0486086956521739,"control1_leaves",120,"Low Expression",115
"340","DownstreamIntergenic","H3K9ac",0.011310850984764,"control1_leaves",140,"Low Expression",115
"341","UpstreamIntergenic","H4K12ac",0,"control1_leaves",-60,"Low Expression",115
"342","Promotor1000","H4K12ac",0,"control1_leaves",-40,"Low Expression",115
"343","Promotor500","H4K12ac",0,"control1_leaves",-20,"Low Expression",115
"344","Gene20","H4K12ac",0,"control1_leaves",20,"Low Expression",115
"345","Gene40","H4K12ac",0,"control1_leaves",40,"Low Expression",115
"346","Gene60","H4K12ac",0,"control1_leaves",60,"Low Expression",115
"347","Gene80","H4K12ac",0,"control1_leaves",80,"Low Expression",115
"348","Gene100","H4K12ac",0,"control1_leaves",100,"Low Expression",115
"349","Downstream","H4K12ac",0,"control1_leaves",120,"Low Expression",115
"350","DownstreamIntergenic","H4K12ac",0,"control1_leaves",140,"Low Expression",115
"351","UpstreamIntergenic","H3K27me1",0.0152899411013975,"control1_leaves",-60,"Low Expression",115
"352","Promotor1000","H3K27me1",0.0683217391304348,"control1_leaves",-40,"Low Expression",115
