"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"350","DownstreamIntergenic","H4K12ac",0,"control1_root",140,"Low Expression",118
"351","UpstreamIntergenic","H3K27me1",0,"control1_root",-60,"Low Expression",118
"352","Promotor1000","H3K27me1",0,"control1_root",-40,"Low Expression",118
"353","Promotor500","H3K27me1",0,"control1_root",-20,"Low Expression",118
"354","Gene20","H3K27me1",0,"control1_root",20,"Low Expression",118
"355","Gene40","H3K27me1",0,"control1_root",40,"Low Expression",118
"356","Gene60","H3K27me1",0,"control1_root",60,"Low Expression",118
"357","Gene80","H3K27me1",0,"control1_root",80,"Low Expression",118
"358","Gene100","H3K27me1",0,"control1_root",100,"Low Expression",118
"359","Downstream","H3K27me1",0,"control1_root",120,"Low Expression",118
"360","DownstreamIntergenic","H3K27me1",0,"control1_root",140,"Low Expression",118
"361","UpstreamIntergenic","H4K16ac",0,"control1_root",-60,"Low Expression",118
"362","Promotor1000","H4K16ac",0,"control1_root",-40,"Low Expression",118
"363","Promotor500","H4K16ac",0,"control1_root",-20,"Low Expression",118
"364","Gene20","H4K16ac",0,"control1_root",20,"Low Expression",118
"365","Gene40","H4K16ac",0,"control1_root",40,"Low Expression",118
"366","Gene60","H4K16ac",0,"control1_root",60,"Low Expression",118
"367","Gene80","H4K16ac",0,"control1_root",80,"Low Expression",118
"368","Gene100","H4K16ac",0,"control1_root",100,"Low Expression",118
"369","Downstream","H4K16ac",0,"control1_root",120,"Low Expression",118
"370","DownstreamIntergenic","H4K16ac",0,"control1_root",140,"Low Expression",118
"371","UpstreamIntergenic","H3K14ac",0,"control1_root",-60,"Low Expression",118
"372","Promotor1000","H3K14ac",0,"control1_root",-40,"Low Expression",118
"373","Promotor500","H3K14ac",0,"control1_root",-20,"Low Expression",118
"374","Gene20","H3K14ac",0,"control1_root",20,"Low Expression",118
"375","Gene40","H3K14ac",0,"control1_root",40,"Low Expression",118
"376","Gene60","H3K14ac",0,"control1_root",60,"Low Expression",118
"377","Gene80","H3K14ac",0,"control1_root",80,"Low Expression",118
"378","Gene100","H3K14ac",0,"control1_root",100,"Low Expression",118
"379","Downstream","H3K14ac",0,"control1_root",120,"Low Expression",118
"380","DownstreamIntergenic","H3K14ac",0,"control1_root",140,"Low Expression",118
"381","UpstreamIntergenic","H2A",0,"control1_root",-60,"Low Expression",118
"382","Promotor1000","H2A",0,"control1_root",-40,"Low Expression",118
"383","Promotor500","H2A",0,"control1_root",-20,"Low Expression",118
"384","Gene20","H2A",0,"control1_root",20,"Low Expression",118
"385","Gene40","H2A",0,"control1_root",40,"Low Expression",118
"386","Gene60","H2A",0,"control1_root",60,"Low Expression",118
"387","Gene80","H2A",0,"control1_root",80,"Low Expression",118
