"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"280","DownstreamIntergenic","H3K4me3",0.0235778041460834,"control1_seedlings",140,"Low Expression",126
"281","UpstreamIntergenic","H3K36me3",0,"control1_seedlings",-60,"Low Expression",126
"282","Promotor1000","H3K36me3",0.153777777777778,"control1_seedlings",-40,"Low Expression",126
"283","Promotor500","H3K36me3",0.142571428571429,"control1_seedlings",-20,"Low Expression",126
"284","Gene20","H3K36me3",0.631857808108708,"control1_seedlings",20,"Low Expression",126
"285","Gene40","H3K36me3",0.722073099877136,"control1_seedlings",40,"Low Expression",126
"286","Gene60","H3K36me3",0.632757111282645,"control1_seedlings",60,"Low Expression",126
"287","Gene80","H3K36me3",0.376522519054541,"control1_seedlings",80,"Low Expression",126
"288","Gene100","H3K36me3",0.106770161157609,"control1_seedlings",100,"Low Expression",126
"289","Downstream","H3K36me3",0.0516269841269841,"control1_seedlings",120,"Low Expression",126
"290","DownstreamIntergenic","H3K36me3",0.0204592915958035,"control1_seedlings",140,"Low Expression",126
"291","UpstreamIntergenic","H3K27ac",0.0044517428776328,"control1_seedlings",-60,"Low Expression",126
"292","Promotor1000","H3K27ac",0.0989365079365079,"control1_seedlings",-40,"Low Expression",126
"293","Promotor500","H3K27ac",0.103333333333333,"control1_seedlings",-20,"Low Expression",126
"294","Gene20","H3K27ac",0.45740557450921,"control1_seedlings",20,"Low Expression",126
"295","Gene40","H3K27ac",0.340710752222089,"control1_seedlings",40,"Low Expression",126
"296","Gene60","H3K27ac",0.197294138726357,"control1_seedlings",60,"Low Expression",126
"297","Gene80","H3K27ac",0.0816281981979336,"control1_seedlings",80,"Low Expression",126
"298","Gene100","H3K27ac",0.038653575209906,"control1_seedlings",100,"Low Expression",126
"299","Downstream","H3K27ac",0.0191666666666667,"control1_seedlings",120,"Low Expression",126
"300","DownstreamIntergenic","H3K27ac",0.00532200282511817,"control1_seedlings",140,"Low Expression",126
"301","UpstreamIntergenic","H4K5ac",0.00883943731682237,"control1_seedlings",-60,"Low Expression",126
"302","Promotor1000","H4K5ac",0.177785714285714,"control1_seedlings",-40,"Low Expression",126
"303","Promotor500","H4K5ac",0.223888888888889,"control1_seedlings",-20,"Low Expression",126
"304","Gene20","H4K5ac",0.637646917097112,"control1_seedlings",20,"Low Expression",126
"305","Gene40","H4K5ac",0.356724061219623,"control1_seedlings",40,"Low Expression",126
"306","Gene60","H4K5ac",0.138597327969903,"control1_seedlings",60,"Low Expression",126
"307","Gene80","H4K5ac",0.0658933760775877,"control1_seedlings",80,"Low Expression",126
