"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"255","Gene40","H2AK121ub",0,"control1_leaves",40,"Low Expression",109
"256","Gene60","H2AK121ub",0,"control1_leaves",60,"Low Expression",109
"257","Gene80","H2AK121ub",0,"control1_leaves",80,"Low Expression",109
"258","Gene100","H2AK121ub",0,"control1_leaves",100,"Low Expression",109
"259","Downstream","H2AK121ub",0,"control1_leaves",120,"Low Expression",109
"260","DownstreamIntergenic","H2AK121ub",0,"control1_leaves",140,"Low Expression",109
"261","UpstreamIntergenic","H3ac",0,"control1_leaves",-60,"Low Expression",109
"262","Promotor1000","H3ac",0,"control1_leaves",-40,"Low Expression",109
"263","Promotor500","H3ac",0,"control1_leaves",-20,"Low Expression",109
"264","Gene20","H3ac",0,"control1_leaves",20,"Low Expression",109
"265","Gene40","H3ac",0,"control1_leaves",40,"Low Expression",109
"266","Gene60","H3ac",0,"control1_leaves",60,"Low Expression",109
"267","Gene80","H3ac",0,"control1_leaves",80,"Low Expression",109
"268","Gene100","H3ac",0,"control1_leaves",100,"Low Expression",109
"269","Downstream","H3ac",0,"control1_leaves",120,"Low Expression",109
"270","DownstreamIntergenic","H3ac",0,"control1_leaves",140,"Low Expression",109
"271","UpstreamIntergenic","H3K4me3",0.000170868273704687,"control1_leaves",-60,"Low Expression",109
"272","Promotor1000","H3K4me3",0.0687614678899083,"control1_leaves",-40,"Low Expression",109
"273","Promotor500","H3K4me3",0.156917431192661,"control1_leaves",-20,"Low Expression",109
"274","Gene20","H3K4me3",0.681957399029226,"control1_leaves",20,"Low Expression",109
"275","Gene40","H3K4me3",0.480812018125234,"control1_leaves",40,"Low Expression",109
"276","Gene60","H3K4me3",0.278795408292052,"control1_leaves",60,"Low Expression",109
"277","Gene80","H3K4me3",0.179086682408179,"control1_leaves",80,"Low Expression",109
"278","Gene100","H3K4me3",0.0671679593978348,"control1_leaves",100,"Low Expression",109
"279","Downstream","H3K4me3",0.0318348623853211,"control1_leaves",120,"Low Expression",109
"280","DownstreamIntergenic","H3K4me3",0,"control1_leaves",140,"Low Expression",109
"281","UpstreamIntergenic","H3K36me3",0,"control1_leaves",-60,"Low Expression",109
"282","Promotor1000","H3K36me3",0.0574954128440367,"control1_leaves",-40,"Low Expression",109
"283","Promotor500","H3K36me3",0.101119266055046,"control1_leaves",-20,"Low Expression",109
"284","Gene20","H3K36me3",0.508893307147723,"control1_leaves",20,"Low Expression",109
"285","Gene40","H3K36me3",0.645683952051805,"control1_leaves",40,"Low Expression",109
