"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"314","Gene40","H2A-X",13.7614678899083,40,"Low Expression","control1_leaves"
"315","Gene40","H3K18ac",0,40,"Low Expression","control1_leaves"
"316","Gene60","H3-3",0,60,"Low Expression","control1_leaves"
"317","Gene60","H3K9me2",0,60,"Low Expression","control1_leaves"
"318","Gene60","H3K27me3",10.0917431192661,60,"Low Expression","control1_leaves"
"319","Gene60","H2A-Z",42.2018348623853,60,"Low Expression","control1_leaves"
"320","Gene60","H2AK121ub",0,60,"Low Expression","control1_leaves"
"321","Gene60","H3ac",0,60,"Low Expression","control1_leaves"
"322","Gene60","H3K4me3",38.5321100917431,60,"Low Expression","control1_leaves"
"323","Gene60","H3K36me3",59.6330275229358,60,"Low Expression","control1_leaves"
"324","Gene60","H3K27ac",0,60,"Low Expression","control1_leaves"
"325","Gene60","H4K5ac",0,60,"Low Expression","control1_leaves"
"326","Gene60","H4K8ac",0,60,"Low Expression","control1_leaves"
"327","Gene60","H3-1",0,60,"Low Expression","control1_leaves"
"328","Gene60","H3K9ac",30.2752293577982,60,"Low Expression","control1_leaves"
"329","Gene60","H4K12ac",0,60,"Low Expression","control1_leaves"
"330","Gene60","H3K27me1",55.045871559633,60,"Low Expression","control1_leaves"
"331","Gene60","H4K16ac",0,60,"Low Expression","control1_leaves"
"332","Gene60","H3K14ac",0,60,"Low Expression","control1_leaves"
"333","Gene60","H2A",56.8807339449541,60,"Low Expression","control1_leaves"
"334","Gene60","H3",0.917431192660551,60,"Low Expression","control1_leaves"
"335","Gene60","H2A-X",21.1009174311927,60,"Low Expression","control1_leaves"
"336","Gene60","H3K18ac",0,60,"Low Expression","control1_leaves"
"337","Gene80","H3-3",0,80,"Low Expression","control1_leaves"
"338","Gene80","H3K9me2",0,80,"Low Expression","control1_leaves"
"339","Gene80","H3K27me3",8.25688073394496,80,"Low Expression","control1_leaves"
"340","Gene80","H2A-Z",39.4495412844037,80,"Low Expression","control1_leaves"
"341","Gene80","H2AK121ub",0,80,"Low Expression","control1_leaves"
"342","Gene80","H3ac",0,80,"Low Expression","control1_leaves"
"343","Gene80","H3K4me3",22.0183486238532,80,"Low Expression","control1_leaves"
"344","Gene80","H3K36me3",31.1926605504587,80,"Low Expression","control1_leaves"
"345","Gene80","H3K27ac",0,80,"Low Expression","control1_leaves"
"346","Gene80","H4K5ac",0,80,"Low Expression","control1_leaves"
"347","Gene80","H4K8ac",0,80,"Low Expression","control1_leaves"
"348","Gene80","H3-1",0,80,"Low Expression","control1_leaves"
"349","Gene80","H3K9ac",21.1009174311927,80,"Low Expression","control1_leaves"
"350","Gene80","H4K12ac",0,80,"Low Expression","control1_leaves"
"351","Gene80","H3K27me1",52.2935779816514,80,"Low Expression","control1_leaves"
"352","Gene80","H4K16ac",0,80,"Low Expression","control1_leaves"
"353","Gene80","H3K14ac",0,80,"Low Expression","control1_leaves"
"354","Gene80","H2A",58.7155963302752,80,"Low Expression","control1_leaves"
"355","Gene80","H3",0.917431192660551,80,"Low Expression","control1_leaves"
"356","Gene80","H2A-X",24.7706422018349,80,"Low Expression","control1_leaves"
"357","Gene80","H3K18ac",0,80,"Low Expression","control1_leaves"
"358","Gene100","H3-3",0,100,"Low Expression","control1_leaves"
"359","Gene100","H3K9me2",0,100,"Low Expression","control1_leaves"
"360","Gene100","H3K27me3",9.1743119266055,100,"Low Expression","control1_leaves"
"361","Gene100","H2A-Z",29.3577981651376,100,"Low Expression","control1_leaves"
"362","Gene100","H2AK121ub",0,100,"Low Expression","control1_leaves"
"363","Gene100","H3ac",0,100,"Low Expression","control1_leaves"
"364","Gene100","H3K4me3",13.7614678899083,100,"Low Expression","control1_leaves"
"365","Gene100","H3K36me3",9.1743119266055,100,"Low Expression","control1_leaves"
"366","Gene100","H3K27ac",0,100,"Low Expression","control1_leaves"
"367","Gene100","H4K5ac",0,100,"Low Expression","control1_leaves"
"368","Gene100","H4K8ac",0,100,"Low Expression","control1_leaves"
"369","Gene100","H3-1",0,100,"Low Expression","control1_leaves"
"370","Gene100","H3K9ac",10.0917431192661,100,"Low Expression","control1_leaves"
"371","Gene100","H4K12ac",0,100,"Low Expression","control1_leaves"
"372","Gene100","H3K27me1",37.6146788990826,100,"Low Expression","control1_leaves"
"373","Gene100","H4K16ac",0,100,"Low Expression","control1_leaves"
"374","Gene100","H3K14ac",0,100,"Low Expression","control1_leaves"
"375","Gene100","H2A",44.954128440367,100,"Low Expression","control1_leaves"
"376","Gene100","H3",0.917431192660551,100,"Low Expression","control1_leaves"
"377","Gene100","H2A-X",18.348623853211,100,"Low Expression","control1_leaves"
