"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"286","Gene60","H3K36me3",0.711472412405981,"control1_seedlings",60,"Low Expression",121
"287","Gene80","H3K36me3",0.436295401827383,"control1_seedlings",80,"Low Expression",121
"288","Gene100","H3K36me3",0.124973232589543,"control1_seedlings",100,"Low Expression",121
"289","Downstream","H3K36me3",0.0620247933884298,"control1_seedlings",120,"Low Expression",121
"290","DownstreamIntergenic","H3K36me3",0.0129757510049132,"control1_seedlings",140,"Low Expression",121
"291","UpstreamIntergenic","H3K27ac",0.00240107185970312,"control1_seedlings",-60,"Low Expression",121
"292","Promotor1000","H3K27ac",0.056595041322314,"control1_seedlings",-40,"Low Expression",121
"293","Promotor500","H3K27ac",0.123900826446281,"control1_seedlings",-20,"Low Expression",121
"294","Gene20","H3K27ac",0.532466426022794,"control1_seedlings",20,"Low Expression",121
"295","Gene40","H3K27ac",0.403713021903929,"control1_seedlings",40,"Low Expression",121
"296","Gene60","H3K27ac",0.241829927067365,"control1_seedlings",60,"Low Expression",121
"297","Gene80","H3K27ac",0.117784982724014,"control1_seedlings",80,"Low Expression",121
"298","Gene100","H3K27ac",0.0584468703946203,"control1_seedlings",100,"Low Expression",121
"299","Downstream","H3K27ac",0.0302066115702479,"control1_seedlings",120,"Low Expression",121
"300","DownstreamIntergenic","H3K27ac",0.00262334092296412,"control1_seedlings",140,"Low Expression",121
"301","UpstreamIntergenic","H4K5ac",0.0124172691388047,"control1_seedlings",-60,"Low Expression",121
"302","Promotor1000","H4K5ac",0.0759917355371901,"control1_seedlings",-40,"Low Expression",121
"303","Promotor500","H4K5ac",0.23804958677686,"control1_seedlings",-20,"Low Expression",121
"304","Gene20","H4K5ac",0.68578942827235,"control1_seedlings",20,"Low Expression",121
"305","Gene40","H4K5ac",0.380341853986156,"control1_seedlings",40,"Low Expression",121
"306","Gene60","H4K5ac",0.159894457233358,"control1_seedlings",60,"Low Expression",121
"307","Gene80","H4K5ac",0.067111491663313,"control1_seedlings",80,"Low Expression",121
"308","Gene100","H4K5ac",0.0408189164534979,"control1_seedlings",100,"Low Expression",121
"309","Downstream","H4K5ac",0.0420247933884298,"control1_seedlings",120,"Low Expression",121
"310","DownstreamIntergenic","H4K5ac",0.00569225065990532,"control1_seedlings",140,"Low Expression",121
"311","UpstreamIntergenic","H4K8ac",0.00803850713156271,"control1_seedlings",-60,"Low Expression",121
"312","Promotor1000","H4K8ac",0.0743553719008264,"control1_seedlings",-40,"Low Expression",121
"313","Promotor500","H4K8ac",0.187685950413223,"control1_seedlings",-20,"Low Expression",121
"314","Gene20","H4K8ac",0.676668227301688,"control1_seedlings",20,"Low Expression",121
"315","Gene40","H4K8ac",0.432828529174941,"control1_seedlings",40,"Low Expression",121
"316","Gene60","H4K8ac",0.240780440317532,"control1_seedlings",60,"Low Expression",121
"317","Gene80","H4K8ac",0.137473591117563,"control1_seedlings",80,"Low Expression",121
"318","Gene100","H4K8ac",0.0581958954195043,"control1_seedlings",100,"Low Expression",121
"319","Downstream","H4K8ac",0.0493801652892562,"control1_seedlings",120,"Low Expression",121
"320","DownstreamIntergenic","H4K8ac",0.00671641890316892,"control1_seedlings",140,"Low Expression",121
"321","UpstreamIntergenic","H3-1",0.0140297249984989,"control1_seedlings",-60,"Low Expression",121
"322","Promotor1000","H3-1",0.0771652892561984,"control1_seedlings",-40,"Low Expression",121
